x_axis,y_axis,x
1991,138,143
1992,93,104
1993,61,69
1994,179,260
1995,48,75
1996,37,63
1997,29,50
1998,23,48
1999,30,111
2000,2,50
2001,38,52
2002,46,53
2003,71,79
2004,25,57
2005,298,317
2006,74,93
2007,50,58
2008,76,80
2009,381,464
2010,387,459
2011,78,106
2012,60,57
2013,507,634
2014,50,64
2015,77,89
2016,64,77
2017,40,60
2018,136,139
2019,243,291
2020,256,288
2021,94,85
2022,36,46
2023,45,53
2024,67,67
2025,120,115
2026,172,183
2027,66,86
2028,46,65
2029,121,113
2030,44,58
2031,64,63
2032,56,142
2033,40,64
2034,116,130
2035,87,105
2036,43,61
2037,43,50
2038,161,232
2039,36,54
